"idade_posse","valor_total_declarado","nome_completo","municipio","partido","uf_nascimento","genero","grau_instrucao","estado_civil","declar_racial","reeleicao","declar_bens","situacao"
37,200,"JOSIVALDO RIBEIRO MOREIRA","CURUÁ","REPUBLICANOS","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","ELEITO"
29,1000,"TIAGO FERREIRA ESSELIN","SANTARÉM","PV","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
37,980,"GILSIMAR MORAIS DA COSTA","SÃO FÉLIX DO XINGU","PTB","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","SEM INFORMAÇÃO","N","S","NÃO ELEITO"
37,1000,"SUELENY TAVARES GUIMARAES","CAMETÁ","PSD","PA","FEMININO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
32,4315,"JOSÉ WALDIR NUNES MARQUES NETO","BUJARU","PL","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
29,450,"ADRIELLE DA COSTA SANTOS","MOJU","PC do B","PA","FEMININO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,5415.9,"LEANDRO HENRIQUE CARDOSO DA ROCHA","MOJU","PSDB","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
31,560.45,"ROBERLENE SIQUEIRA RIBEIRO","MOJU","PSB","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,200,"RAQUEL MATOS MOTA","MUANÁ","PSB","PA","FEMININO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,2580,"WELITON MELO LIMA","SOURE","PL","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PRETA","N","S","ELEITO"
31,150,"LUANA FRANCISCA DO NASCIMENTO SANTOS","PACAJÁ","PTB","PA","FEMININO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
33,1000,"CLAYTON CONCEIÇÃO DE OLIVEIRA","ACARÁ","PSD","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
32,2000,"POLIANA BATISTA DA SILVA","RONDON DO PARÁ","REPUBLICANOS","MA","FEMININO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
32,4074,"LEILEANY DE SOUZA BARROS","ANAPU","MDB","PA","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
32,11000,"JOSE BORGES DA SILVA JUNIOR","AFUÁ","PSD","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PRETA","N","S","ELEITO"
33,4241.44,"RENATA SARGES BASTOS","OEIRAS DO PARÁ","PSC","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
35,2298.22,"SILVANDRO DE JESUS BATISTA DAS NEVES","SÃO DOMINGOS DO CAPIM","PT","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","S","S","NÃO ELEITO"
32,912.1,"DANILO PIMENTEL DO NASCIMENTO","CURUÇÁ","REPUBLICANOS","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,795,"GIORDANA DOS SANTOS OLIVEIRA","SÃO JOÃO DA PONTA","PDT","PA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
31,2250,"CAMILA CRISTINA PINHEIRO RIBEIRO","RONDON DO PARÁ","REPUBLICANOS","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
32,100,"JOSE ALVES","JACUNDÁ","MDB","MA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
40,700,"JACICLENE VILARINHO DE OLIVEIRA","ANAJÁS","PSDB","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
33,1919.35,"BRUNO RAFAEL NASCIMENTO DE SOUZA","JURUTI","PSC","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
48,2434.06,"EUNICE DE SOUZA PEREIRA","OURILÂNDIA DO NORTE","PSB","SC","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
33,11280.1,"WILKERSON SANTOS DA SILVA SARGES","CURUÇÁ","DEM","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
35,10353.19,"RAIMUNDO RIBEIRO DA SILVA","PLACAS","PSDB","MA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
32,6000,"RONIEL RIBEIRO DA SILVA","REDENÇÃO","PSL","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
29,560,"ALLAN PEREIRA DE MESQUITA","SÃO JOÃO DA PONTA","MDB","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
31,10133.01,"MARCIONE ROCHA RIBEIRO","PLACAS","MDB","MA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","S","S","ELEITO"
37,1160,"ROSILENE DA SILVA AMARAL","ANAJÁS","DEM","PA","FEMININO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
32,2691.8,"ADRIANO CHAVES DE OLIVEIRA","ULIANÓPOLIS","PTB","AM","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
33,700,"ADRIANO DUARTE DOS PASSOS","PORTO DE MOZ","PSD","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","N","ELEITO"
36,1500,"FRANCISCO ORLANDO DE SOUSA","SANTANA DO ARAGUAIA","REPUBLICANOS","MA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
32,1190,"ANA PAULA VELOSO MOTA SILVA","ELDORADO DOS CARAJÁS","PSB","PA","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","PRETA","N","S","NÃO ELEITO"
29,488.65,"JOSE NEILSON GOMES SOZINHO","BAGRE","MDB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
33,650,"EIDE FERREIRA PINTO","ALENQUER","PSC","PA","MASCULINO","ENSINO MÉDIO COMPLETO","DIVORCIADO(A)","PRETA","N","S","NÃO ELEITO"
33,3120,"KATIANE SILVA MADEIRA","PACAJÁ","PMN","MA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
32,2890,"SIDNEY SANTOS BARBOSA","ALTAMIRA","PL","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PRETA","N","S","NÃO ELEITO"
30,1500,"BEZENAIDE FURTADO MAGNO","PRAINHA","DEM","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,5295,"DENNES HENRIQUE RODRIGUES SILVA","SANTANA DO ARAGUAIA","CIDADANIA","GO","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","ELEITO"
29,6200,"YULLI AVILA DA SILVA","BELÉM","SOLIDARIEDADE","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
34,4637.93,"WELLINGTON DA SILVA LIMA","NOVO REPARTIMENTO","PV","PA","MASCULINO","ENSINO MÉDIO INCOMPLETO","DIVORCIADO(A)","PARDA","N","S","NÃO ELEITO"
34,3832.5,"JOELMA DUARTE FELIPE","CURRALINHO","PSD","PA","FEMININO","ENSINO MÉDIO INCOMPLETO","SOLTEIRO(A)","PARDA","N","N","NÃO ELEITO"
31,273.85,"IZAQUE DE OLIVEIRA SILVA","JACUNDÁ","MDB","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
31,520,"ROSIELISON ALVES DA SILVA","SANTARÉM","REPUBLICANOS","PA","MASCULINO","ENSINO MÉDIO INCOMPLETO","DIVORCIADO(A)","PARDA","N","S","NÃO ELEITO"
36,1050,"LEANDRO DE SOUSA ARAUJO","ALENQUER","PSC","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,2995.57,"IRINEU PANDILHA PINHEIRO","AFUÁ","PT","AP","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PRETA","N","S","ELEITO"
36,400,"ARLENE DOS SANTOS OLIVEIRA","ANANINDEUA","PDT","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PRETA","N","S","NÃO ELEITO"
31,2090,"TATIANE DIAS DA SILVA","OURILÂNDIA DO NORTE","MDB","PA","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
33,200,"MARIA JOSÉ DA SILVA MOREIRA","CASTANHAL","PV","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
33,350,"MARIA LUCIENE TRINDADE DE SOUZA","SÃO DOMINGOS DO CAPIM","PL","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,300,"ANGELICA GONÇALVES SANTIAGO","MAGALHÃES BARATA","PTC","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
29,760.45,"GEORGE WALLACE MAGALHAES DE SOUZA","PEIXE-BOI","PSDB","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
30,500,"GISELLE CRISTINA ESTRELA CORDEIRO","BELÉM","CIDADANIA","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PRETA","N","S","NÃO ELEITO"
32,1400,"GILBERTO DA FONSECA CARVALHO","SALVATERRA","PDT","PA","MASCULINO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
30,500,"JOSÉ EVANDRO BARROS ANDRÉ JÚNIOR","ABAETETUBA","PSB","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
35,499.2,"GENEISE VEIGA OLIVEIRA","LIMOEIRO DO AJURU","PSC","PA","FEMININO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
31,3000,"RAILMA GOMES DE OLIVEIRA","ÁGUA AZUL DO NORTE","PATRIOTA","PA","FEMININO","SUPERIOR INCOMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
34,650,"MURILO THIAGO QUEIROZ BARBOSA","CONCÓRDIA DO PARÁ","MDB","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","N","NÃO ELEITO"
32,7602,"TAIANA TAIZES RODRIGUES GOMES","CURRALINHO","MDB","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
32,1580,"LUIS WAGNER FERNANDES FERREIRA","MELGAÇO","PL","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","PARDA","S","S","NÃO ELEITO"
33,628.45,"JOSE ENYGLHAEL SENNA MOREIRA","IPIXUNA DO PARÁ","PT","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,1300,"FRANCISCO DE ASSIS MOREIRA PAMPLONA JUNIOR","MOJU","PL","PA","MASCULINO","SUPERIOR INCOMPLETO","DIVORCIADO(A)","PARDA","N","S","NÃO ELEITO"
41,1200,"EDILSON FONSECA","ANANINDEUA","PC do B","PA","MASCULINO","ENSINO MÉDIO INCOMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
29,70,"HILEANA PAULA LEAL FREITAS","SOURE","MDB","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
32,500,"DANIELA DE MORAES SANTOS","ÓBIDOS","PSC","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
37,2000,"MARINALDA SANTOS FERREIRA","ABAETETUBA","REPUBLICANOS","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","BRANCA","N","N","NÃO ELEITO"
33,609.8,"WELKE REIS MARTINS","IPIXUNA DO PARÁ","PSB","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
28,5000,"EDCARLOS UCHOA SILVA CUNHA","VITÓRIA DO XINGU","PSB","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
30,4590,"RENATO BEZERRA DOS SANTOS","MEDICILÂNDIA","PT","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
32,8203.35,"MIELLE DE JESUS MENDES FIGUEIREDO","IGARAPÉ-MIRI","PSD","PA","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
30,7316,"RODRIGO BRESCIANI","ULIANÓPOLIS","PSD","MA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
38,5752.4,"GILVAN VIANA SILVA","ITAITUBA","PSB","MA","MASCULINO","LÊ E ESCREVE","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
30,11893.6,"NAIARA RAIOL TORRES","ANANINDEUA","PT","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
33,501.26,"CLAYTON ARAUJO RODRIGUES","ACARÁ","MDB","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","DIVORCIADO(A)","PARDA","S","S","NÃO ELEITO"
31,250,"JAQUELINE PANTOJA CORREA","CAMETÁ","PROS","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
33,1910.27,"ROSANA RIBEIRO DA SILVA","PEIXE-BOI","PV","PA","FEMININO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","ELEITO"
32,2700,"VÂNIA LOPES FEITOSA","PAU D ARCO","PSD","PA","FEMININO","LÊ E ESCREVE","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
32,210,"CRISLANE COSTA DA COSTA","MARITUBA","PP","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,1580,"MARCO AURÉLIO ALVES SILVA","VISEU","PT","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
29,8500,"LORENA PAZ CARDOSO LIMA","TAILÂNDIA","MDB","PA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
37,1685,"HELIZEIDE DE SOUSA COELHO","REDENÇÃO","PL","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","BRANCA","N","S","ELEITO"
33,3755.44,"JAMES LACERDA RIBEIRO","JACUNDÁ","PT","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PRETA","N","S","NÃO ELEITO"
37,5270,"JONAS DE SOUZA NASCIMENTO","BRASIL NOVO","MDB","PA","MASCULINO","ENSINO MÉDIO INCOMPLETO","DIVORCIADO(A)","PARDA","N","S","ELEITO"
44,1000,"MANOEL DA SILVA TAVARES","ELDORADO DOS CARAJÁS","PSB","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
32,3342,"MURILO ÂNGELO VIDAL DO VALE","BENEVIDES","REPUBLICANOS","PA","MASCULINO","SUPERIOR INCOMPLETO","CASADO(A)","PARDA","N","N","NÃO ELEITO"
34,3898.6,"BARBARA HELENA CORDEIRO LEAL","IRITUIA","PT","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","S","N","NÃO ELEITO"
32,2194.7,"MONICA DE ALMEIDA VASCONCELOS","BREJO GRANDE DO ARAGUAIA","PDT","TO","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
32,1200,"ALESSANDRA PORTAL DA CONCEIÇÃO","SALVATERRA","PDT","PA","FEMININO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
29,1973.5,"RONALD RODRIGUES DE SOUZA","ANANINDEUA","PDT","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
39,800,"MARIA RAIMUNDA DIVAS DA SILVA","ANAPU","PTB","TO","FEMININO","ENSINO FUNDAMENTAL COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
31,67471.81,"FABIO SOUSA DE ABREU","BELÉM","PROS","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
32,400,"TIEGO MOREIRA COSTA","IGARAPÉ-MIRI","PTB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
31,3488.95,"MARIO FERNANDO TAVARES SANTOS","SANTA MARIA DAS BARREIRAS","PL","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
31,2750,"ELISVAN ALVES RODRIGUES","MEDICILÂNDIA","DEM","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","ELEITO"
33,150,"TIAGO DA COSTA SOARES","MARAPANIM","REPUBLICANOS","PA","MASCULINO","ENSINO MÉDIO INCOMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
37,4703,"ALESSANDRA MARTINS LOPES","ANANINDEUA","PV","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","N","NÃO ELEITO"
28,4968,"RAIZA COSTA DE SOUZA","SANTARÉM","PSB","PA","FEMININO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
33,400,"VALDENIRA PEREIRA DE ARAUJO","ALENQUER","PSC","PA","FEMININO","ENSINO MÉDIO COMPLETO","VIÚVO(A)","BRANCA","N","S","NÃO ELEITO"
32,311.05,"JETRO JOSIAS DOS SANTOS RIBEIRO","CURUÇÁ","PSC","PA","MASCULINO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
34,92.5,"MARIA CONCISLEI PEREIRA DE ABREU SILVA","PIÇARRA","MDB","PA","FEMININO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,3675,"AIRTON DE SOUZA AMARAL","MONTE ALEGRE","PSD","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","BRANCA","N","S","ELEITO"
31,500,"DIONES RIBEIRO MOURA","SANTA MARIA DAS BARREIRAS","PTB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
36,733,"FÁBIO JÚNIOR DE MORAES RODRIGUES","MOCAJUBA","PSDB","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,1500,"ANTONIO MADSON DA SILVA CHAVES","NOVA ESPERANÇA DO PIRIÁ","PP","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
46,500,"JAIME FARIAS DOS REIS","BUJARU","CIDADANIA","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
31,1860,"JARDENILSON TEIXEIRA MOTA","IRITUIA","PTB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","ELEITO"
32,400,"PAULO RICARDO DA COSTA TEIXEIRA","ANANINDEUA","PC do B","PA","MASCULINO","ENSINO FUNDAMENTAL INCOMPLETO","SOLTEIRO(A)","BRANCA","N","S","NÃO ELEITO"
32,400,"JOSIMARA VIEIRA TAVARES","MOJUÍ DOS CAMPOS","MDB","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
33,750,"PABLO FERNANDES AGUIAR DA SILVA","IGARAPÉ-AÇU","PSDB","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","ELEITO"
31,1000,"MONICA OLIVEIRA MENDES","SANTARÉM","REPUBLICANOS","PA","FEMININO","SUPERIOR COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
30,447,"TIAGO SANDAVID SANTOS DE SOUZA","MEDICILÂNDIA","PSC","PA","MASCULINO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
21,2490,"ELLEN NICOLE DE SOUSA ARAUJO","NOVO REPARTIMENTO","PSD","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
34,898.6,"JOCIVANE MACIEL COSTA","TERRA SANTA","PT","PA","FEMININO","ENSINO MÉDIO COMPLETO","SOLTEIRO(A)","PARDA","N","N","NÃO ELEITO"
31,754,"ANDERSON DA SILVA LOBATO","ABAETETUBA","PDT","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
38,512,"OSIAS DE SOUZA SANTOS","JURUTI","PSDB","PA","MASCULINO","ENSINO FUNDAMENTAL COMPLETO","SOLTEIRO(A)","PARDA","N","S","NÃO ELEITO"
32,1685,"ROGERIO NASCIMENTO SAMPAIO","IGARAPÉ-MIRI","PC do B","PA","MASCULINO","SUPERIOR COMPLETO","SOLTEIRO(A)","BRANCA","N","S","ELEITO"
51,1500,"MARIA NADIR SEIXAS SENA","CURUÁ","PSDB","AM","FEMININO","ENSINO FUNDAMENTAL INCOMPLETO","CASADO(A)","BRANCA","N","S","NÃO ELEITO"
33,2550.9,"KAWANNY CANTUARIO FONTENELLE SANTIAGO","SANTA MARIA DAS BARREIRAS","PSC","PA","FEMININO","ENSINO MÉDIO COMPLETO","CASADO(A)","PARDA","N","S","NÃO ELEITO"
32,600,"BRENDA LAILA DE SOUSA MIRANDA","BARCARENA","PMB","PA","FEMININO","SUPERIOR INCOMPLETO","SOLTEIRO(A)","AMARELA","N","S","NÃO ELEITO"
